target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7364,0.4751,-1.3698,0.9188,0.9899,0.1211,0.0851,0.4935,s1423,s5378
total_negative_slack_ns,47,-4.1222,23.9393,-161.8548,0.6719,0.9961,8.0739,1.8307,72.5152,s27,s38584a
