target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7494,0.4645,-1.3813,0.9181,0.9857,0.1182,0.081,0.4953,s1423,s386
total_negative_slack_ns,47,-2.5336,16.324,-110.6797,0.7191,0.9955,6.8229,1.9347,59.2725,s27,s38584
