target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-0.63,6.6621,-42.6769,0.8964,0.9884,0.2206,0.1029,2.7209,systemcdes,s838
total_negative_slack_ns,47,-1.9218,3.5565,-19.068,-0.5964,0.2364,20.2277,4.8183,135.6774,i2c,usb_phy
