fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.11435450613498688,0.15718571841716766,0.8526601195335388
1,train,total_negative_slack_ns,18.23032569885254,57.739173889160156,0.12547296285629272
1,test,worst_slack_ns,0.1171388179063797,0.14578114449977875,0.8856970071792603
1,test,total_negative_slack_ns,25.639083862304688,73.33540344238281,0.1382855772972107
2,train,worst_slack_ns,0.10964328795671463,0.15366125106811523,0.8633542656898499
2,train,total_negative_slack_ns,20.20341682434082,59.504825592041016,0.1191907525062561
2,test,worst_slack_ns,0.39517515897750854,0.6891705989837646,-1.8058428764343262
2,test,total_negative_slack_ns,22.948505401611328,69.31098937988281,0.1305413842201233
3,train,worst_slack_ns,0.09949039667844772,0.1398707628250122,0.8890221118927002
3,train,total_negative_slack_ns,19.312334060668945,59.705970764160156,0.12661564350128174
3,test,worst_slack_ns,0.18301886320114136,0.2557920515537262,0.5787701606750488
3,test,total_negative_slack_ns,20.771562576293945,71.22747802734375,0.06539082527160645
4,train,worst_slack_ns,0.09754542261362076,0.13416559994220734,0.8918062448501587
4,train,total_negative_slack_ns,23.222572326660156,69.36131286621094,0.09043741226196289
4,test,worst_slack_ns,0.14147761464118958,0.2023112028837204,0.7791893482208252
4,test,total_negative_slack_ns,7.958189964294434,12.338526725769043,-0.46329808235168457
5,train,worst_slack_ns,0.11660889536142349,0.15405802428722382,0.8660767078399658
5,train,total_negative_slack_ns,19.02406883239746,62.398216247558594,0.12749308347702026
5,test,worst_slack_ns,0.12380962818861008,0.16408361494541168,0.8162379264831543
5,test,total_negative_slack_ns,23.049772262573242,57.379005432128906,0.13606125116348267
