target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.4972,1.4243,-7.7161,0.9007,0.9878,0.1538,0.0926,1.2123,systemcdes,s713
total_negative_slack_ns,47,-1.8879,3.4975,-18.0452,-0.5573,0.2017,20.1927,4.6849,135.672,i2c,usb_phy
