target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-23.4475,86.8729,-494.2489,-0.9904,0.06,0.0881,0.0323,1.1851,systemcdes,s526a
total_negative_slack_ns,47,-26.4632,84.3876,-359.8453,-0.9539,0.1972,0.6362,0.4273,2.957,s1423a,s1196
