fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.5184334516525269,0.7568175196647644,0.5334327220916748
1,train,total_negative_slack_ns,94.1282958984375,300.3988952636719,-0.04994010925292969
1,test,worst_slack_ns,0.46857237815856934,0.6463952660560608,0.7185665369033813
1,test,total_negative_slack_ns,71.51937103271484,214.9254913330078,-0.016982078552246094
2,train,worst_slack_ns,0.5031073093414307,0.7364597916603088,0.5802760124206543
2,train,total_negative_slack_ns,89.74397277832031,294.80963134765625,-0.04577159881591797
2,test,worst_slack_ns,0.48949721455574036,0.7329221963882446,0.5639503002166748
2,test,total_negative_slack_ns,86.96466064453125,242.13917541503906,-0.02488720417022705
3,train,worst_slack_ns,0.4968203604221344,0.7474843859672546,0.5905240774154663
3,train,total_negative_slack_ns,93.16399383544922,308.3611755371094,-0.04085648059844971
3,test,worst_slack_ns,0.49866312742233276,0.702582836151123,0.4767898917198181
3,test,total_negative_slack_ns,70.22698974609375,160.3778076171875,-0.0719231367111206
4,train,worst_slack_ns,0.5050780773162842,0.7316416501998901,0.5668679475784302
4,train,total_negative_slack_ns,93.82836151123047,304.90167236328125,-0.044141292572021484
4,test,worst_slack_ns,0.4985182285308838,0.7603207230567932,0.6028738021850586
4,test,total_negative_slack_ns,71.03170776367188,186.69204711914062,-0.05203092098236084
5,train,worst_slack_ns,0.550834059715271,0.7849290370941162,0.5185171365737915
5,train,total_negative_slack_ns,75.0745849609375,203.16488647460938,-0.03228437900543213
5,test,worst_slack_ns,0.6923030018806458,1.052754521369934,0.12875616550445557
5,test,total_negative_slack_ns,146.5874786376953,492.2356872558594,-0.06693077087402344
