target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0253,0.9058,0.5751,0.5918,0.0167,0.0062,0.06,0.941
delta_total_negative_slack_ns,13536,0.0003,0.5353,18.1549,18.237,0.0821,0.0,5.0,0.9986
