split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.0592,0.084,0.989,2.14,3.03,7.74,10.98
train,total_negative_slack_ns,4.4038,7.8318,0.2852,7.83,13.93,133.38,237.2
test,worst_slack_ns,0.0582,0.0832,0.9902,2.1,3.01,7.69,10.99
test,total_negative_slack_ns,4.6184,8.3217,0.3075,8.31,14.97,114.26,205.88
