epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-2.622681,-2.663759,-0.081645966,-0.24781775
2,-2.3064687,-2.2339964,-0.080847144,-0.24810398
3,-2.0218835,-1.8660128,-0.08004975,-0.24847102
4,-1.7683978,-1.5592961,-0.07925403,-0.24891889
5,-1.544538,-1.3106432,-0.07845974,-0.24944735
6,-1.3476706,-1.1133168,-0.07766712,-0.25005603
7,-1.1740246,-0.95708513,-0.076876044,-0.25074434
8,-1.0191374,-0.82995105,-0.07608652,-0.25151145
9,-0.8786323,-0.72103775,-0.07529867,-0.2523564
10,-0.7489654,-0.622833,-0.07451224,-0.25327742
11,-0.6278089,-0.5316893,-0.07372749,-0.25427365
12,-0.5140308,-0.44702542,-0.0729444,-0.25534356
13,-0.40741718,-0.37012804,-0.072162986,-0.25648594
14,-0.30830634,-0.30307496,-0.07138324,-0.2576989
15,-0.21723187,-0.24791491,-0.07060504,-0.25898123
16,-0.13463056,-0.20608246,-0.06982875,-0.26033103
17,-0.06063211,-0.17801642,-0.06905401,-0.26174676
18,0.0050498843,-0.16298378,-0.068280935,-0.2632264
19,0.06311661,-0.15912986,-0.06750953,-0.26476824
20,0.11458135,-0.16375315,-0.066740036,-0.26636994
21,0.16060656,-0.17374384,-0.06597221,-0.26802993
22,0.2023372,-0.18607199,-0.06520581,-0.26974642
23,0.24077642,-0.19820702,-0.06444144,-0.27151716
24,0.27671546,-0.20839357,-0.06367862,-0.27334118
25,0.31071514,-0.21576536,-0.06291771,-0.27521658
26,0.34312433,-0.22031844,-0.062158346,-0.27714145
27,0.37412518,-0.22278392,-0.061400652,-0.27911448
28,0.40379125,-0.2244463,-0.060644865,-0.28113425
29,0.4321463,-0.22694802,-0.059890628,-0.2831986
30,0.45921284,-0.23209953,-0.05913806,-0.28530622
31,0.48504186,-0.24172151,-0.058387518,-0.28745532
32,0.5097215,-0.2575102,-0.057638288,-0.28964424
33,0.53336704,-0.28092647,-0.056891084,-0.2918712
34,0.5560982,-0.31310296,-0.05614543,-0.29413414
35,0.5780133,-0.35474956,-0.055401444,-0.29643118
36,0.5991672,-0.40606713,-0.054659247,-0.29876065
37,0.61956024,-0.46666086,-0.05391848,-0.30112028
38,0.6391401,-0.53547215,-0.05317974,-0.3035084
39,0.65781677,-0.6107483,-0.05244243,-0.30592287
40,0.6754854,-0.69006586,-0.05170667,-0.30836153
41,0.6920526,-0.7704339,-0.05097282,-0.31082273
42,0.707459,-0.8484783,-0.050240517,-0.31330442
43,0.7216917,-0.92071104,-0.049509764,-0.3158046
44,0.73478687,-0.9838376,-0.0487808,-0.31832147
45,0.7468196,-1.035079,-0.048053145,-0.32085347
46,0.75788796,-1.0724425,-0.04732752,-0.3233986
47,0.7680945,-1.0948997,-0.046603203,-0.3259554
48,0.77753025,-1.1024501,-0.045880437,-0.32852244
49,0.7862667,-1.0960665,-0.04515922,-0.33109808
50,0.79435426,-1.077532,-0.044439793,-0.33368123
51,0.80182815,-1.0492175,-0.043721676,-0.33627045
52,0.80871683,-1.0138195,-0.04300511,-0.33886456
53,0.8150514,-0.974105,-0.04229021,-0.34146225
54,0.82087076,-0.9326794,-0.041576743,-0.34406245
55,0.8262232,-0.89180505,-0.040864825,-0.34666407
56,0.8311633,-0.8532702,-0.040154338,-0.34926605
57,0.8357456,-0.8183172,-0.0394454,-0.35186756
58,0.8400175,-0.7876227,-0.038737893,-0.35446727
59,0.84401524,-0.7613201,-0.038032055,-0.3570645
60,0.84776115,-0.739058,-0.037327528,-0.35965824
61,0.85126585,-0.72008467,-0.03662455,-0.36224747
62,0.85453194,-0.7033534,-0.035923004,-0.36483145
63,0.85756,-0.68764484,-0.03522277,-0.36740947
64,0.8603527,-0.6716938,-0.034523964,-0.3699807
65,0.8629179,-0.654318,-0.03382671,-0.37254465
66,0.8652688,-0.63453805,-0.033130884,-0.37510026
67,0.86742246,-0.61167324,-0.03243661,-0.37764752
68,0.86939657,-0.5854006,-0.031743526,-0.38018548
69,0.87120664,-0.5557864,-0.031051874,-0.3827139
70,0.8728646,-0.52325916,-0.030361772,-0.3852322
71,0.87437797,-0.4885589,-0.029672861,-0.38774014
72,0.87575173,-0.45265126,-0.0289855,-0.3902377
73,0.87699014,-0.41662312,-0.02829957,-0.39272368
74,0.8780992,-0.38158262,-0.027614951,-0.39519858
75,0.87908775,-0.34856093,-0.026931763,-0.39766204
76,0.87996775,-0.31843448,-0.026249766,-0.40011334
77,0.8807535,-0.29186976,-0.02556932,-0.40255272
78,0.8814598,-0.2692901,-0.024890065,-0.4049796
79,0.8821,-0.25086904,-0.02421236,-0.4073938
80,0.88268507,-0.23653567,-0.023535967,-0.40979505
81,0.88322294,-0.22600734,-0.022860885,-0.41218317
82,0.8837185,-0.2188201,-0.022187114,-0.41455805
83,0.8841752,-0.21438205,-0.021514654,-0.4169196
84,0.8845957,-0.21201992,-0.020843625,-0.41926694
85,0.8849832,-0.2110393,-0.020173907,-0.42160034
86,0.8853413,-0.21077597,-0.0195055,-0.42391956
87,0.88567436,-0.21064544,-0.018838406,-0.42622447
88,0.88598704,-0.21018267,-0.018172741,-0.42851508
89,0.88628304,-0.20906806,-0.017508268,-0.4307909
90,0.88656545,-0.20713913,-0.016845107,-0.43305206
91,0.8868358,-0.20438516,-0.016183257,-0.4352982
92,0.88709515,-0.20092607,-0.015522838,-0.43752944
93,0.88734347,-0.19698274,-0.01486361,-0.43974566
94,0.88758093,-0.192837,-0.014205575,-0.4419465
95,0.88780767,-0.18879247,-0.01354897,-0.44413197
96,0.88802433,-0.18513596,-0.012893677,-0.44630194
97,0.88823175,-0.18210483,-0.012239456,-0.44845605
98,0.88843083,-0.1798631,-0.011586666,-0.45059466
99,0.88862264,-0.17849159,-0.010935187,-0.4527173
100,0.88880765,-0.17798114,-0.010284901,-0.45482385
101,0.88898647,-0.17824066,-0.0096360445,-0.4569143
102,0.88915926,-0.17911172,-0.008988142,-0.4589882
103,0.88932633,-0.18038905,-0.00834167,-0.4610455
104,0.889488,-0.18184376,-0.00769639,-0.46308625
105,0.88964456,-0.18324852,-0.007052541,-0.4651103
106,0.8897965,-0.1843996,-0.0064098835,-0.4671172
107,0.8899443,-0.18513548,-0.005768299,-0.46910727
108,0.89008826,-0.18535066,-0.005128145,-0.47107995
109,0.89022857,-0.18499768,-0.0044891834,-0.47303545
110,0.89036524,-0.18408883,-0.0038511753,-0.47497356
111,0.89049846,-0.18268645,-0.0032148361,-0.47689402
112,0.8906281,-0.18089092,-0.0025794506,-0.47879684
113,0.89075416,-0.17882466,-0.0019453764,-0.48068166
114,0.8908768,-0.17661536,-0.0013123751,-0.4825486
115,0.89099616,-0.17438161,-0.00068080425,-0.48439777
116,0.8911123,-0.17222106,-5.042553e-05,-0.48622847
117,0.89122534,-0.17020094,0.0005788207,-0.4880408
118,0.8913353,-0.16835582,0.001206994,-0.48983455
119,0.89144224,-0.16668689,0.0018337965,-0.4916098
120,0.891546,-0.16516864,0.0024594665,-0.49336648
121,0.8916467,-0.16375446,0.0030839443,-0.49510407
122,0.8917443,-0.16238678,0.0037072897,-0.4968227
123,0.8918389,-0.16100717,0.0043293834,-0.49852228
124,0.89193064,-0.15956295,0.004950285,-0.5002028
125,0.8920195,-0.15801632,0.0055699944,-0.5018637
126,0.89210576,-0.15634704,0.006188512,-0.50350523
127,0.8921894,-0.15455413,0.0068059564,-0.50512743
128,0.89227045,-0.15265524,0.007422209,-0.5067297
129,0.8923489,-0.15068042,0.008037329,-0.508312
130,0.89242494,-0.14866996,0.008651078,-0.5098748
131,0.8924985,-0.146667,0.009263933,-0.5114175
132,0.89256966,-0.1447103,0.009875655,-0.51294005
133,0.89263856,-0.14283156,0.010486066,-0.5144427
134,0.89270526,-0.14105117,0.011095405,-0.51592505
135,0.89276975,-0.13937688,0.011703551,-0.51738715
136,0.89283216,-0.13780344,0.012310624,-0.51882863
137,0.8928925,-0.13631582,0.012916565,-0.5202495
138,0.8929508,-0.1348921,0.013521314,-0.52164996
139,0.89300716,-0.13350701,0.01412493,-0.5230297
140,0.8930615,-0.13213801,0.014727533,-0.5243888
141,0.8931141,-0.13076544,0.015328944,-0.52572703
142,0.8931649,-0.12937808,0.015929222,-0.5270444
143,0.8932139,-0.1279738,0.016528368,-0.5283408
144,0.8932613,-0.1265583,0.01712656,-0.52961624
145,0.8933071,-0.12514472,0.017723382,-0.5308709
146,0.8933513,-0.12375152,0.018319368,-0.5321044
147,0.893394,-0.12239826,0.018914223,-0.5333165
148,0.8934352,-0.121104956,0.019507885,-0.53450763
149,0.893475,-0.11988664,0.020100474,-0.5356778
150,0.8935134,-0.11875355,0.020691872,-0.5368266
151,0.8935505,-0.117708445,0.021282375,-0.5379541
152,0.8935863,-0.11674678,0.021871746,-0.53906024
153,0.8936209,-0.11585927,0.022459865,-0.5401454
154,0.8936542,-0.11503112,0.02304715,-0.54120886
155,0.8936864,-0.114245415,0.023633301,-0.5422511
156,0.8937175,-0.11348593,0.024218261,-0.54327214
157,0.89374745,-0.11273801,0.024802208,-0.5442717
158,0.8937764,-0.111991644,0.025385141,-0.54524994
159,0.89380425,-0.111240506,0.025967121,-0.54620695
160,0.89383113,-0.110485315,0.02654785,-0.5471424
161,0.89385706,-0.10972965,0.027127564,-0.5480566
162,0.8938821,-0.10898054,0.027706206,-0.5489497
163,0.8939062,-0.108247876,0.028283894,-0.5498214
164,0.89392936,-0.107540846,0.02886051,-0.5506716
165,0.8939518,-0.1068666,0.029436111,-0.5515007
166,0.89397335,-0.10623026,0.030010581,-0.5523087
167,0.8939941,-0.10563326,0.030584216,-0.55309534
168,0.8940141,-0.10507214,0.0311566,-0.55386066
169,0.8940334,-0.104540706,0.03172797,-0.5546051
170,0.8940519,-0.10403037,0.032298386,-0.5553285
171,0.8940698,-0.10353017,0.03286779,-0.55603087
172,0.894087,-0.1030308,0.03343618,-0.55671227
173,0.8941035,-0.10252309,0.034003496,-0.55737257
174,0.8941195,-0.102000356,0.03456974,-0.558012
175,0.8941348,-0.10145891,0.03513509,-0.5586308
176,0.89414954,-0.10089922,0.035699487,-0.55922866
177,0.8941638,-0.10032332,0.03626281,-0.5598061
178,0.89417744,-0.09973681,0.03682506,-0.5603628
179,0.89419055,-0.09914589,0.037386358,-0.5608989
180,0.8942032,-0.09855664,0.0379467,-0.5614147
181,0.89421535,-0.09797633,0.03850597,-0.5619099
182,0.894227,-0.097408056,0.03906429,-0.56238496
183,0.89423823,-0.09685576,0.03962165,-0.56283987
184,0.894249,-0.09631872,0.04017788,-0.5632746
185,0.8942594,-0.09579599,0.040733337,-0.56368935
186,0.8942694,-0.09528363,0.04128772,-0.56408405
187,0.894279,-0.09477806,0.04184115,-0.56445897
188,0.8942882,-0.09427452,0.042393506,-0.5648142
189,0.89429706,-0.09376955,0.042945027,-0.56514966
190,0.8943056,-0.09325957,0.043495357,-0.5654657
191,0.89431375,-0.09274459,0.04404503,-0.5657623
192,0.8943216,-0.09222472,0.044593513,-0.5660398
193,0.8943292,-0.09170246,0.04514122,-0.56629777
194,0.89433646,-0.09118068,0.045687735,-0.5665369
195,0.8943434,-0.090663195,0.046233475,-0.56675684
196,0.8943501,-0.09015465,0.046778202,-0.56695807
197,0.89435655,-0.08965778,0.047321916,-0.5671408
198,0.89436275,-0.08917582,0.047864795,-0.56730485
199,0.8943687,-0.08871043,0.0484066,-0.5674505
200,0.8943744,-0.088261485,0.048947573,-0.5675776
201,0.8943799,-0.08782828,0.04948759,-0.5676867
202,0.89438516,-0.08740902,0.050026715,-0.5677775
203,0.8943902,-0.087001085,0.050564647,-0.5678507
204,0.8943951,-0.08660245,0.051101863,-0.567906
