epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0059441,0.012533581,-0.023440074,1.0224756,-0.006442821,-0.05897685
2,0.98803556,0.02979573,-0.0043988465,1.0064099,0.010216797,-0.045111872
3,0.97115374,0.046712708,0.014088893,0.98921853,0.026339686,-0.03269013
4,0.9548998,0.063347936,0.03207556,0.97378653,0.041957222,-0.021500658
5,0.93848115,0.07977979,0.04964423,0.95774186,0.05701959,-0.011434972
6,0.9221485,0.09606482,0.06688106,0.9440707,0.071562216,-0.0021082044
7,0.9060837,0.11226454,0.08381498,0.9292488,0.08563367,0.006861329
8,0.89033234,0.12842543,0.10049711,0.91548395,0.09929689,0.015677607
9,0.87392235,0.14459397,0.116976574,0.9015444,0.112629056,0.024581563
10,0.8584264,0.16081217,0.13332894,0.8884078,0.12568623,0.033790063
11,0.84255135,0.17712304,0.14957361,0.8746518,0.13851511,0.043459594
12,0.8272375,0.1935347,0.16571574,0.8633437,0.15115023,0.053708814
13,0.81069535,0.2100633,0.18178079,0.85092413,0.16357267,0.06462586
14,0.79437125,0.22670083,0.19780597,0.8377228,0.17576984,0.0763185
15,0.7781043,0.24346593,0.21383114,0.8270947,0.18770073,0.088723585
16,0.761057,0.26037964,0.22985306,0.81436193,0.19936939,0.10176337
17,0.74437773,0.2774361,0.24586174,0.8032546,0.2107872,0.11540411
18,0.72836655,0.2946238,0.2617753,0.791128,0.2219444,0.12949628
19,0.71155643,0.311943,0.27758142,0.781834,0.23281054,0.14388134
20,0.69393337,0.3294026,0.29325476,0.76960015,0.24337006,0.15835603
21,0.6767162,0.3470081,0.30882782,0.757725,0.25360298,0.17269073
22,0.6595977,0.36475983,0.3243197,0.74935806,0.26347193,0.18652895
23,0.6423937,0.38265896,0.33972308,0.74085236,0.27294713,0.19970311
24,0.6240125,0.4007091,0.35503218,0.7302138,0.28201383,0.21197215
25,0.607303,0.41890654,0.37027502,0.7216501,0.2906702,0.22309542
26,0.58852386,0.43724608,0.38546225,0.71460646,0.29892582,0.23297782
27,0.5709133,0.45571947,0.40068406,0.7046467,0.30680984,0.24146149
28,0.55230576,0.4743224,0.41602725,0.6977624,0.3143323,0.24847937
29,0.53538674,0.49304095,0.4315068,0.68858933,0.32152802,0.25398898
30,0.5164712,0.51185024,0.44710964,0.68234634,0.32844576,0.25811258
31,0.49730983,0.53071964,0.46275607,0.6768428,0.3351665,0.26105303
32,0.4788068,0.54960334,0.47848693,0.6678009,0.3417929,0.26313245
33,0.46064028,0.5684613,0.49439812,0.66326624,0.3484334,0.26462215
34,0.44219962,0.5872364,0.5105107,0.6570058,0.35512787,0.26577872
35,0.42397317,0.6058711,0.5267766,0.6484064,0.3618471,0.2667993
