split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.0855,0.1211,0.9165,4.45,6.31,25.59,36.25
train,total_negative_slack_ns,2.9535,5.9334,0.9911,0.56,1.12,16.32,32.79
test,worst_slack_ns,0.1072,0.1272,0.893,5.93,7.03,33.87,40.18
test,total_negative_slack_ns,3.3847,5.919,0.9942,0.64,1.11,17.98,31.44
