fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.06497975438833237,0.08583986014127731,0.9673686027526855
1,delta_total_negative_slack_ns,32.130489349365234,62.9516716003418,0.5608766078948975
2,delta_worst_slack_ns,0.08641626685857773,0.12542308866977692,0.9391706585884094
2,delta_total_negative_slack_ns,33.09341049194336,61.485897064208984,0.519148588180542
3,delta_worst_slack_ns,0.06836609542369843,0.09201472252607346,0.9626310467720032
3,delta_total_negative_slack_ns,25.421398162841797,61.75803756713867,0.4956323504447937
4,delta_worst_slack_ns,0.07438444346189499,0.0959441065788269,0.9645884037017822
4,delta_total_negative_slack_ns,16.707881927490234,20.427000045776367,-1.7290067672729492
5,delta_worst_slack_ns,0.06335921585559845,0.08589500933885574,0.9623269438743591
5,delta_total_negative_slack_ns,30.36949348449707,52.155479431152344,0.5360579490661621
