fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.11133332550525665,0.16039235889911652,0.8465872406959534
1,train,total_negative_slack_ns,18.131248474121094,58.402584075927734,0.10526126623153687
1,test,worst_slack_ns,0.09681154787540436,0.1160777360200882,0.9275309443473816
1,test,total_negative_slack_ns,24.84663963317871,75.56692504882812,0.08504551649093628
2,train,worst_slack_ns,0.24170564115047455,0.30564355850219727,0.45937293767929077
2,train,total_negative_slack_ns,19.896272659301758,60.105224609375,0.10132652521133423
2,test,worst_slack_ns,0.8339853882789612,1.850002408027649,-19.21875762939453
2,test,total_negative_slack_ns,25.061767578125,73.14788818359375,0.031614482402801514
3,train,worst_slack_ns,0.10295578092336655,0.14116883277893066,0.8869526982307434
3,train,total_negative_slack_ns,19.215803146362305,60.57627868652344,0.1009681224822998
3,test,worst_slack_ns,0.12556113302707672,0.19133400917053223,0.7643163800239563
3,test,total_negative_slack_ns,20.883893966674805,70.95401763916016,0.07255327701568604
4,train,worst_slack_ns,0.09102935343980789,0.13006775081157684,0.8983144760131836
4,train,total_negative_slack_ns,21.728229522705078,75.89559936523438,-0.08900821208953857
4,test,worst_slack_ns,0.1411057859659195,0.20965859293937683,0.7628596425056458
4,test,total_negative_slack_ns,4.898014068603516,11.367398262023926,-0.2420191764831543
5,train,worst_slack_ns,0.11201954632997513,0.1596643179655075,0.8561521768569946
5,train,total_negative_slack_ns,18.760263442993164,63.19342041015625,0.10511285066604614
5,test,worst_slack_ns,0.08115655183792114,0.10238349437713623,0.9284540414810181
5,test,total_negative_slack_ns,23.140596389770508,56.96684265136719,0.1484283208847046
