target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0213,0.9066,0.5718,0.5918,0.02,0.0066,0.06,0.9148
delta_total_negative_slack_ns,13536,0.0,0.5503,18.235,18.237,0.0019,0.0,5.0,1.0
