target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7217,0.5446,-1.8527,0.8977,0.9958,0.1242,0.0885,0.5415,s1423,s713
total_negative_slack_ns,47,-3.8385,20.7256,-133.4998,0.6728,0.9957,4.9451,2.2793,28.5473,s27,s38584a
