fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.04421483725309372,0.05944471433758736,0.9843491911888123
1,delta_total_negative_slack_ns,3.4255428314208984,5.6595940589904785,0.9964475035667419
2,delta_worst_slack_ns,0.07894808053970337,0.14695455133914948,0.9164415597915649
2,delta_total_negative_slack_ns,8.389059066772461,16.094005584716797,0.9670214653015137
3,delta_worst_slack_ns,0.056207675486803055,0.08812516927719116,0.9657131433486938
3,delta_total_negative_slack_ns,7.265906810760498,22.2248477935791,0.9346174001693726
4,delta_worst_slack_ns,0.04429808631539345,0.06111318618059158,0.9856249690055847
4,delta_total_negative_slack_ns,1.9506876468658447,2.9281299114227295,0.9438996911048889
5,delta_worst_slack_ns,0.045250095427036285,0.07236341387033463,0.9732552766799927
5,delta_total_negative_slack_ns,5.036410808563232,12.478163719177246,0.9734138250350952
