target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret
delta_worst_slack_ns,13536,0.0013,0.9111,0.5712,0.5918,0.0206,0.01
delta_total_negative_slack_ns,13536,0.0024,0.5356,18.1725,18.237,0.0644,0.0
