fold,epoch,train_loss
1,1,0.7587282731010391
1,2,0.2616501402210545
1,3,0.17174745017701798
1,4,0.13837791048549675
1,5,0.11171226695672169
1,6,0.0868803016147814
1,7,0.06731678363125962
1,8,0.05292784261542398
1,9,0.04318398435239319
1,10,0.03602143179054733
1,11,0.03162105259549868
1,12,0.029050631845767075
1,13,0.02748678030597197
1,14,0.02561630397565193
1,15,0.024219639493046223
1,16,0.02337684998618769
1,17,0.022450501211099438
1,18,0.02201135271975586
1,19,0.021214812624830385
1,20,0.02044309544245581
1,21,0.019627562284961837
1,22,0.01950349746546051
1,23,0.018796775406142614
1,24,0.018573935744953942
1,25,0.018234471541580494
1,26,0.017688453505123342
1,27,0.017400964641490498
1,28,0.016744341667707975
1,29,0.016774282407563727
1,30,0.016319913409269967
2,1,0.7143273202327637
2,2,0.2553042954242265
2,3,0.17216980251464042
2,4,0.13813619673610092
2,5,0.11074123871666533
2,6,0.08516286147965325
2,7,0.06407160275020041
2,8,0.050237186432063756
2,9,0.040811409340337945
2,10,0.03503556108779019
2,11,0.03194829694054148
2,12,0.029358719657357032
2,13,0.02741642425524759
2,14,0.02657163213636424
2,15,0.02521738408877327
2,16,0.023780349099466035
2,17,0.02312516516169628
2,18,0.02243774824470908
2,19,0.021548001559915486
2,20,0.02104385985850214
2,21,0.020716986739196936
2,22,0.020256185781087604
2,23,0.019609075397611024
2,24,0.01905970592555162
2,25,0.018738426010798406
2,26,0.018408883038583818
2,27,0.018055593600502243
2,28,0.017901154744016514
2,29,0.01765119833116596
2,30,0.017182453927044216
3,1,0.7453624923326816
3,2,0.24901560358485283
3,3,0.16269252322919187
3,4,0.13514718618135005
3,5,0.10451069173582814
3,6,0.07749630820158629
3,7,0.057121370793783176
3,8,0.04432505465041824
3,9,0.03618784926352445
3,10,0.03154401166353658
3,11,0.028883681017142986
3,12,0.026359553367160914
3,13,0.025326069891017083
3,14,0.02385142014214867
3,15,0.022794462511675398
3,16,0.022114174146401256
3,17,0.021200608799767772
3,18,0.02048777374956343
3,19,0.0198675879870939
3,20,0.01951350608285059
3,21,0.019092084916188704
3,22,0.018424109310696
3,23,0.01843559007808479
3,24,0.017913001093860955
3,25,0.017452332022333004
3,26,0.017160473260701747
3,27,0.01691692370420311
3,28,0.01652987777358956
3,29,0.016358168948202106
3,30,0.016011690002000124
4,1,0.7707638838137799
4,2,0.24336091991056474
4,3,0.1526752985708895
4,4,0.11768766191967747
4,5,0.08374763123298946
4,6,0.059479411473573995
4,7,0.04542136898166255
4,8,0.0371607759237638
4,9,0.032208882620808676
4,10,0.02909350165367475
4,11,0.027479439178666874
4,12,0.025597938625087514
4,13,0.02418147149490334
4,14,0.023347605575333562
4,15,0.022477254620072436
4,16,0.02151043899357319
4,17,0.0206745639879104
4,18,0.020048407195081486
4,19,0.019527334153477908
4,20,0.019066452097735907
4,21,0.018435514123554816
4,22,0.018065705078474263
4,23,0.01769578783658513
4,24,0.017143169614045245
4,25,0.017074305030424692
4,26,0.016560327915246028
4,27,0.01631906636233567
4,28,0.016128445349154415
4,29,0.015710238160358533
4,30,0.01556529708163083
5,1,0.7043809024562613
5,2,0.2315295773465731
5,3,0.15672349572530267
5,4,0.12677056555859526
5,5,0.10015778949386195
5,6,0.07304088385743007
5,7,0.05376292436182151
5,8,0.04187630962210092
5,9,0.03446891208925442
5,10,0.030303693262108584
5,11,0.02792590182296365
5,12,0.026124490555702595
5,13,0.024342792566146767
5,14,0.02345359909255602
5,15,0.022150720540455908
5,16,0.021718729657736437
5,17,0.02128965886887054
5,18,0.020437672570870632
5,19,0.019711746055393192
5,20,0.01915045782967269
5,21,0.018583866282861832
5,22,0.018123120995380028
5,23,0.017618074392278988
5,24,0.017671263934663166
5,25,0.017314143271909818
5,26,0.0168294510232252
5,27,0.016608285614185862
5,28,0.01624589272889129
5,29,0.01588585628033207
5,30,0.015720778041415744
