epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-0.16916835,-0.11984372,0.03765273,-0.005776167
2,-0.1375941,-0.09375095,0.056038857,0.007495761
3,-0.10758662,-0.06931305,0.073984444,0.02081561
4,-0.07898402,-0.046187043,0.09142953,0.034160912
5,-0.051648855,-0.024148822,0.10827541,0.0475989
6,-0.025577426,-0.0031040907,0.12423879,0.060974956
7,-0.0006803274,0.017020404,0.13952869,0.074207544
8,0.0233742,0.036242723,0.15422028,0.08730966
9,0.046776533,0.05465913,0.16844594,0.10024488
10,0.06960529,0.072464466,0.18221885,0.11295527
11,0.09189963,0.08979285,0.1955477,0.1254673
12,0.11380899,0.106755435,0.2084431,0.1377663
13,0.13537258,0.1234805,0.2209084,0.1498105
14,0.15671265,0.14003533,0.23288047,0.16153723
15,0.17788655,0.1565423,0.24434865,0.1729415
16,0.19896632,0.17302966,0.25524175,0.18404597
17,0.22001761,0.1895504,0.26552248,0.1948533
18,0.24108279,0.20611858,0.27516627,0.20537764
19,0.26217288,0.22274166,0.28417528,0.21566784
20,0.28329086,0.23935884,0.2925101,0.22569352
21,0.30442083,0.25598603,0.3001796,0.23543209
22,0.325539,0.2726544,0.30717546,0.24484223
23,0.34659833,0.2893471,0.31351978,0.25389177
24,0.3675508,0.3061216,0.31923717,0.26245648
25,0.38834524,0.32302636,0.32441568,0.27055085
26,0.40893978,0.33993763,0.32911712,0.2781073
27,0.42928666,0.3568455,0.33343178,0.28509188
28,0.4493013,0.3737479,0.33749253,0.29151362
29,0.46896076,0.39060122,0.34143496,0.29742038
30,0.4882514,0.40748453,0.3453647,0.30279654
31,0.5071217,0.4244355,0.34940177,0.3077268
32,0.5255317,0.44149905,0.35364783,0.31228536
33,0.54345727,0.45860255,0.35818785,0.316459
34,0.56091845,0.47573233,0.36302382,0.3202567
35,0.577924,0.49285072,0.36817032,0.32369906
36,0.5944912,0.5098643,0.37360424,0.32680732
37,0.6106359,0.526755,0.3792305,0.32956898
38,0.6263919,0.5434449,0.3849293,0.33197504
39,0.64178026,0.55986,0.3906638,0.33417875
40,0.6568296,0.5759629,0.3963436,0.3362159
41,0.6715186,0.5916829,0.40197992,0.33811307
42,0.6858424,0.6070086,0.40759522,0.33998257
43,0.69977045,0.6219132,0.41325027,0.3419407
44,0.71325845,0.6364014,0.4188915,0.3440776
45,0.7262348,0.6504724,0.42454916,0.34651792
46,0.73860747,0.6640976,0.4303221,0.34946668
47,0.75027645,0.67721635,0.43626547,0.3529312
48,0.7611662,0.6899631,0.44242924,0.35706627
49,0.7712015,0.70229876,0.44876218,0.3617105
50,0.7802979,0.71417904,0.4552443,0.36695307
51,0.78840256,0.725521,0.46189737,0.3727101
52,0.7955379,0.7364006,0.4687115,0.3789758
53,0.80171794,0.7465726,0.4756075,0.38554382
54,0.80699337,0.7558208,0.48259974,0.39228207
55,0.81144845,0.7641645,0.48965204,0.3991729
56,0.81518173,0.77141356,0.4967782,0.40607262
57,0.81828165,0.77765334,0.5039563,0.41274464
58,0.82084507,0.78291625,0.51121,0.41905206
59,0.82295156,0.7872175,0.51852787,0.42498565
60,0.82467264,0.7906874,0.52586997,0.43064648
61,0.8260603,0.7931771,0.53321826,0.43585616
62,0.82718533,0.79523283,0.5406239,0.44065726
63,0.8281194,0.7967738,0.5480478,0.4451928
64,0.8289462,0.79838145,0.5555017,0.4492591
65,0.8297373,0.8001369,0.56293,0.45321047
66,0.8305524,0.80258363,0.5702926,0.45716202
67,0.8314227,0.8047964,0.5776746,0.46136618
68,0.83238864,0.80616117,0.58503115,0.46565717
69,0.83345497,0.8068586,0.59242386,0.46998024
70,0.83461934,0.8068227,0.5997907,0.47434956
71,0.83585006,0.80747926,0.6071069,0.47914255
72,0.8371179,0.80757546,0.6142845,0.48371696
73,0.8383784,0.8076618,0.6212766,0.48802477
74,0.83959347,0.8069259,0.62809634,0.4920419
75,0.84074134,0.80627406,0.6347778,0.49617153
76,0.841806,0.8057075,0.6412788,0.50013554
77,0.8427669,0.8053242,0.6476449,0.50425875
78,0.8436157,0.8047936,0.65387124,0.5088127
79,0.8443581,0.8035381,0.6599691,0.5137152
80,0.8450049,0.8023306,0.6659545,0.5187125
81,0.84556425,0.80029976,0.67178446,0.52338254
82,0.84603685,0.79810965,0.6774751,0.527796
83,0.84644747,0.796154,0.68308,0.53210145
84,0.84682053,0.79514873,0.688602,0.5367788
85,0.84717125,0.7946811,0.69404423,0.541708
86,0.84749496,0.7947243,0.69941604,0.54694533
87,0.84780407,0.7954313,0.70466554,0.5520231
88,0.8480966,0.7958464,0.7098363,0.5559856
89,0.848387,0.79679024,0.7149186,0.5594748
90,0.8486752,0.7980803,0.71994,0.5634389
91,0.8489676,0.7992712,0.72486687,0.56661236
92,0.84927213,0.7992199,0.72969186,0.56873465
93,0.8495934,0.79871637,0.73443055,0.57052326
94,0.84992296,0.7973356,0.73910487,0.5721803
95,0.85024905,0.79535484,0.7438185,0.57509744
96,0.8505784,0.79443735,0.74854636,0.57889104
97,0.8509172,0.7941799,0.7532213,0.58329093
98,0.8512579,0.7941369,0.75780225,0.58709633
99,0.85160244,0.7948359,0.7623164,0.59063876
100,0.8519467,0.7962751,0.7667436,0.5939213
101,0.8522795,0.7974992,0.7711215,0.5954738
102,0.8525953,0.7984243,0.77540344,0.59695876
103,0.85289687,0.7989312,0.77961564,0.5984865
104,0.8531825,0.79842424,0.7838031,0.6006695
105,0.85345066,0.7974895,0.78800184,0.60363454
106,0.8536919,0.7959786,0.79219425,0.60723394
107,0.8539107,0.7946315,0.7963261,0.61131585
108,0.85412157,0.79361224,0.8003484,0.6150303
109,0.8543433,0.79342043,0.80430686,0.6172882
110,0.85458195,0.794203,0.80821264,0.61870956
111,0.8548224,0.7954159,0.81205106,0.6201781
112,0.85505354,0.79695415,0.8158046,0.6220374
113,0.8552681,0.79824024,0.81943935,0.6230167
114,0.8554718,0.7989669,0.82305866,0.62488335
115,0.85567886,0.7988051,0.82671016,0.6277612
116,0.85589427,0.7976599,0.83031064,0.63112485
117,0.856108,0.79592156,0.8338608,0.63539374
118,0.85631144,0.79322696,0.8373181,0.6389029
119,0.8564977,0.7907242,0.84066594,0.6404731
120,0.85667634,0.7886772,0.8439212,0.6418257
121,0.8568769,0.7879597,0.84708685,0.6436347
122,,,0.850271,0.64681494
123,,,0.85340333,0.6506114
124,,,0.8564457,0.6545753
125,,,0.85941297,0.6575724
126,,,0.86227787,0.659317
127,,,0.8650154,0.66022897
128,,,0.8677629,0.6621465
129,,,0.8704646,0.66393197
130,,,0.8731452,0.66562915
131,,,0.87583244,0.667935
132,,,0.8784913,0.67133284
133,,,0.88103235,0.67412496
134,,,0.88347524,0.6742864
135,,,0.8858395,0.67384297
136,,,0.8881523,0.6738584
137,,,0.89035535,0.67300904
138,,,0.8925999,0.6737517
139,,,0.89490056,0.6762018
140,,,0.8971951,0.6804935
141,,,0.8992366,0.6805625
142,,,0.90110546,0.679397
143,,,0.90303206,0.6794368
144,,,0.90507394,0.68164325
145,,,0.9072014,0.6869763
146,,,0.90910244,0.6897899
147,,,0.91094935,0.6901751
148,,,0.9126972,0.6888821
149,,,0.91445583,0.69024026
150,,,0.91616213,0.6908766
151,,,0.91796225,0.6948415
152,,,0.9196432,0.6967337
153,,,0.9212527,0.69769454
154,,,0.92275643,0.6973369
155,,,0.9244116,0.7003946
156,,,0.9259955,0.7029027
157,,,0.9275247,0.70385474
158,,,0.92901796,0.7043644
159,,,0.93042934,0.7035342
160,,,0.93188965,0.7048657
161,,,0.9333251,0.7070204
162,,,0.9347199,0.70876515
163,,,0.9360678,0.70955384
164,,,0.9373854,0.7102748
165,,,0.938695,0.71240187
166,,,0.9399286,0.711079
167,,,0.9411654,0.7114798
168,,,0.9422816,0.7095468
169,,,0.94357896,0.71303415
170,,,0.9447778,0.7164927
171,,,0.94593245,0.71877015
172,,,0.9470812,0.71899486
173,,,0.9481102,0.71803284
174,,,0.9491296,0.71924573
175,,,0.95016176,0.7213576
176,,,0.9512117,0.72619545
177,,,0.95217377,0.72551465
178,,,0.9531148,0.72548556
179,,,0.95399356,0.72426194
180,,,0.95488244,0.7238207
181,,,0.95578873,0.7249259
182,,,0.95665264,0.72562647
183,,,0.9575161,0.72604585
184,,,0.9583426,0.72857153
185,,,0.9592147,0.728691
186,,,0.96006066,0.7281628
187,,,0.96084803,0.72752523
188,,,0.9615996,0.72768867
189,,,0.96239644,0.73063445
190,,,0.9631169,0.7352917
191,,,0.9638389,0.7369417
192,,,0.96456087,0.7371874
193,,,0.96525717,0.7372055
194,,,0.965863,0.7356193
195,,,0.9664766,0.7359797
196,,,0.9671379,0.7371415
197,,,0.96782815,0.7394675
198,,,0.96846706,0.7400105
199,,,0.9689946,0.73885274
200,,,0.96947396,0.73828423
201,,,0.97022194,0.742158
202,,,0.9706814,0.74844694
203,,,0.9712856,0.74772286
204,,,0.97181565,0.74428636
205,,,0.9716865,0.73738396
206,,,0.97196764,0.7362176
207,,,0.9730747,0.7418964
208,,,0.97350925,0.7493061
209,,,0.9737449,0.7511811
210,,,0.9744675,0.7449353
211,,,0.97472966,0.73842394
212,,,0.97498465,0.7356496
213,,,0.97550946,0.7365608
214,,,0.9760769,0.7389498
215,,,0.9765033,0.73992646
216,,,0.9769637,0.7434387
217,,,0.97732145,0.7450275
218,,,0.977681,0.74577236
219,,,0.9779779,0.7437225
220,,,0.97785324,0.7381011
221,,,0.97802794,0.7377604
222,,,0.9783926,0.73901486
223,,,0.9790699,0.7442523
224,,,0.9793788,0.7453412
225,,,0.9796754,0.74573374
226,,,0.97965026,0.74217767
227,,,0.9796313,0.7405074
228,,,0.97990435,0.7410996
229,,,0.9804887,0.74526846
230,,,0.9809525,0.7505008
231,,,0.98114955,0.7533484
232,,,0.9813608,0.7521283
233,,,0.9815014,0.7475499
234,,,0.9816427,0.74635446
235,,,0.9819078,0.7472972
236,,,0.981985,0.74491787
237,,,0.9820337,0.74289036
238,,,0.98229146,0.74357444
239,,,0.98269653,0.7477002
240,,,0.98289925,0.7476077
241,,,0.98302317,0.74548125
242,,,0.98314834,0.7443206
243,,,0.9832845,0.74305713
244,,,0.9833727,0.7417172
245,,,0.9836233,0.7437656
246,,,0.98380476,0.7444172
247,,,0.98395646,0.74533284
248,,,0.9840428,0.74536407
249,,,0.9842264,0.7468451
250,,,0.9843616,0.747965
251,,,0.98444384,0.7479255
252,,,0.98454696,0.74770755
253,,,0.9846513,0.7475571
254,,,0.98480403,0.7483196
255,,,0.98497576,0.75023097
256,,,0.9850853,0.7503996
257,,,0.9852147,0.7507559
258,,,0.9852875,0.74954045
259,,,0.9853359,0.7483113
260,,,0.98541397,0.74810076
261,,,0.98556554,0.7492392
262,,,0.9856787,0.74920785
263,,,0.9857687,0.7492808
264,,,0.9858457,0.7496755
265,,,0.98576933,0.74696577
266,,,0.98575324,0.7455553
267,,,0.9860097,0.74774575
268,,,0.9861766,0.7526492
269,,,0.9862827,0.75345147
270,,,0.9864422,0.74959064
271,,,0.9863666,0.7454734
272,,,0.9864196,0.74454606
273,,,0.9866432,0.7461947
274,,,0.98680186,0.750883
275,,,0.9867838,0.7521512
276,,,0.98692656,0.7485459
277,,,0.9869547,0.7444905
278,,,0.9868832,0.7414486
279,,,0.9868683,0.7405657
280,,,0.9871322,0.74411345
281,,,0.98722225,0.74917597
