target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7807,0.3953,-1.1465,0.9134,0.9841,0.1112,0.079,0.4699,s1423,s5378
total_negative_slack_ns,47,-4.3283,29.8071,-203.8921,0.706,0.997,7.0414,1.7389,69.7859,s27,s38584a
