target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7695,0.4009,-1.1273,0.9133,0.9894,0.1149,0.0784,0.468,s1423,s382
total_negative_slack_ns,47,-4.2743,29.3564,-200.7389,0.752,0.9956,5.9099,1.8038,65.1485,s27,s38584a
