fold,target,best_epoch,best_test_r2,stopped_epoch
1,worst_slack_ns,87,0.911107063293457,150
1,total_negative_slack_ns,286,0.994519829750061,336
2,worst_slack_ns,71,0.8705654740333557,150
2,total_negative_slack_ns,95,0.6287843585014343,150
3,worst_slack_ns,397,0.7709226608276367,400
3,total_negative_slack_ns,322,0.7239009737968445,372
4,worst_slack_ns,399,0.8051179051399231,400
4,total_negative_slack_ns,394,0.682080864906311,400
5,worst_slack_ns,190,0.8726702928543091,240
5,total_negative_slack_ns,392,0.9556747674942017,400
