split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.0751,0.1013,0.9414,3.91,5.27,22.51,30.36
train,total_negative_slack_ns,2.807,5.7837,0.9915,0.53,1.09,15.53,31.99
test,worst_slack_ns,0.1106,0.1351,0.8842,6.15,7.51,34.74,42.45
test,total_negative_slack_ns,3.272,5.4158,0.9951,0.62,1.02,17.31,28.65
