fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.07245725393295288,0.09871283918619156,0.9568475484848022
1,delta_total_negative_slack_ns,31.97481346130371,63.10965347290039,0.5586698055267334
2,delta_worst_slack_ns,0.22795630991458893,0.49725809693336487,0.04385894536972046
2,delta_total_negative_slack_ns,55.91319274902344,93.38829803466797,-0.10928916931152344
3,delta_worst_slack_ns,0.06742953509092331,0.08964747935533524,0.9645290374755859
3,delta_total_negative_slack_ns,25.865015029907227,60.46821212768555,0.5164799690246582
4,delta_worst_slack_ns,0.06979123502969742,0.09123159199953079,0.9679816365242004
4,delta_total_negative_slack_ns,16.365264892578125,20.081192016601562,-1.6373906135559082
5,delta_worst_slack_ns,0.06520634889602661,0.0862591490149498,0.9620068669319153
5,delta_total_negative_slack_ns,31.41657066345215,53.42545700073242,0.5131889581680298
