metric,pre_mean,post_mean,pre_median,post_median,mean_shift,median_shift
WNS,-0.0001812294157788105,0.5704674993461241,-0.028852000832557678,0.5995100140571594,0.5706487287619029,0.6283620148897171
TNS,-18.236987442197393,-0.0014208603828050632,-0.07277899980545044,0.0,18.235566581814588,0.07277899980545044
