target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0,0.9018,0.5706,0.5918,0.0211,0.0082,0.06,0.8936
delta_total_negative_slack_ns,13536,0.0,0.5507,18.2356,18.237,0.0014,0.0,5.0,1.0
