design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
s298,,total_negative_slack_ns,,-247.22430253998036,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s298,3.0,total_negative_slack_ns,288.0,-6.64968729019165,2.271035432815552,3.138094425201416,-3.157489061355591,0.0,-0.5928377509117126,1.3529961109161377,1.9458338022232056,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s298,3.0,total_negative_slack_ns,288.0,-2.5520057678222656,1.592132329940796,2.1383607387542725,-3.157489061355591,0.0,-0.5928377509117126,-1.9254460334777832,-1.3326084613800049,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s344,,total_negative_slack_ns,,-18.66144632694939,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s344,2.0,total_negative_slack_ns,288.0,-4.429238796234131,3.0021533966064453,3.760483503341675,-4.482790946960449,0.0,-0.950855016708374,2.050705909729004,3.001561164855957,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s344,2.0,total_negative_slack_ns,288.0,-2.547286033630371,2.3890695571899414,3.0396411418914795,-4.482790946960449,0.0,-0.950855016708374,-3.00435733795166,-2.053502559661865,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s349,,total_negative_slack_ns,,-23.490111216358734,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s349,1.0,total_negative_slack_ns,288.0,-1.8750407695770264,2.3543975353240967,3.1018435955047607,-4.973042011260986,0.0,-1.0988430976867676,1.1985621452331543,2.2974050045013428,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s349,1.0,total_negative_slack_ns,288.0,-1.564871072769165,2.249397039413452,2.929750680923462,-4.973042011260986,0.0,-1.0988430976867676,-3.341795921325684,-2.242953300476074,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s35932,,total_negative_slack_ns,,-0.2132704365587863,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s35932,5.0,total_negative_slack_ns,288.0,-0.096181035041809,96.0633544921875,146.7769012451172,-438.6055908203125,0.0,-88.74264526367188,-39.41342544555664,49.329219818115234,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s35932,5.0,total_negative_slack_ns,288.0,0.9661138653755188,16.24777603149414,25.806415557861328,-438.6055908203125,0.0,-88.74264526367188,-88.61862182617188,0.1240285262465477,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s382,,total_negative_slack_ns,,-2.053554279530235,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s382,4.0,total_negative_slack_ns,288.0,-0.321419358253479,1.1437249183654783,2.010138511657715,-4.823084831237793,0.0,-0.9624850749969482,-0.1941439807415008,0.7683411240577698,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s382,4.0,total_negative_slack_ns,288.0,0.5461347103118896,0.8300938010215759,1.1780647039413452,-4.823084831237793,0.0,-0.9624850749969482,-1.5284764766693115,-0.5659915208816528,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s38417,,total_negative_slack_ns,,-0.2225385044891463,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s38417,3.0,total_negative_slack_ns,288.0,-0.340433120727539,131.81460571289062,210.5728302001953,-513.5249633789062,0.0,-134.61981201171875,-24.54802703857422,110.07179260253906,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s38417,3.0,total_negative_slack_ns,288.0,0.9128729701042176,33.39884948730469,53.68540191650391,-513.5249633789062,0.0,-134.61981201171875,-118.26162719726562,16.358177185058594,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s38584,,total_negative_slack_ns,,-0.1319812004352027,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s38584,2.0,total_negative_slack_ns,288.0,-0.2871285676956177,135.24807739257812,220.6375274658203,-531.3651123046875,0.0,-137.66419982910156,-29.23602294921875,108.4281768798828,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s38584,2.0,total_negative_slack_ns,288.0,0.9933041930198668,9.039987564086914,15.913623809814451,-531.3651123046875,0.0,-137.66419982910156,-137.43264770507812,0.2315495312213897,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s386,,total_negative_slack_ns,,-1.610587968448625,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s386,5.0,total_negative_slack_ns,288.0,-16.011741638183594,4.348295211791992,4.811831951141357,-3.1184980869293213,0.0,-0.746756911277771,3.60153865814209,4.348295211791992,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s386,5.0,total_negative_slack_ns,288.0,-0.4744117259979248,1.1353442668914795,1.41659414768219,-3.1184980869293213,0.0,-0.746756911277771,-1.875783085823059,-1.129026174545288,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s400,,total_negative_slack_ns,,-5.307203454416452,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s400,4.0,total_negative_slack_ns,288.0,-0.3134956359863281,1.0508664846420288,1.8760627508163448,-4.488002777099609,0.0,-0.8724053502082825,-0.1808898001909256,0.6915156245231628,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s400,4.0,total_negative_slack_ns,288.0,0.1133517026901245,1.070994257926941,1.5413765907287598,-4.488002777099609,0.0,-0.8724053502082825,-1.7446458339691162,-0.8722404837608337,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
