design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
s1423a,3,total_negative_slack_ns,288,0.1303199529647827,9.816828727722168,13.968052864074709,-40.89596557617188,0.0,-14.305703163146973,-4.8132853507995605,9.49241828918457,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s1488,2,total_negative_slack_ns,288,-1.494255542755127,5.019405364990234,5.475803375244141,-9.541492462158203,0.0,-2.5044665336608887,2.514939069747925,5.019405364990234,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s1488,2,total_negative_slack_ns,288,0.4694200754165649,2.08036208152771,2.525531530380249,-9.541492462158203,0.0,-2.5044665336608887,-2.662222623825073,-0.1577559113502502,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s15850,1,total_negative_slack_ns,288,-0.2561492919921875,48.13610458374024,70.6599349975586,-176.63528442382812,0.0,-55.19429016113281,-18.81139373779297,36.38289260864258,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s15850,1,total_negative_slack_ns,288,0.9772399067878724,6.987903118133545,9.511292457580566,-176.63528442382812,0.0,-55.19429016113281,-50.22910690307617,4.965174198150635,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s15850a,5,total_negative_slack_ns,288,-0.2532640695571899,47.7647590637207,69.95659637451172,-183.90872192382807,0.0,-55.6925163269043,-19.484798431396484,36.20771789550781,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s15850a,5,total_negative_slack_ns,288,0.9776862263679504,7.044668197631836,9.334562301635742,-183.90872192382807,0.0,-55.6925163269043,-51.997188568115234,3.695328950881958,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s27,4,total_negative_slack_ns,288,-5.51536226272583,0.3319118916988373,0.4384335577487945,-0.4652949869632721,0.0,-0.0817753374576568,0.1506941616535186,0.2324694842100143,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s27,4,total_negative_slack_ns,288,-173.32327270507812,1.5694516897201538,2.267838954925537,-0.4652949869632721,0.0,-0.0817753374576568,-1.5547616481781006,-1.472986340522766,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s298,3,total_negative_slack_ns,288,-20.800819396972656,4.708710670471191,5.297616958618164,-3.157489061355591,0.0,-0.5928377509117126,4.115872859954834,4.708710670471191,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
