target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0,0.903,0.571,0.5918,0.0207,0.0082,0.06,0.9148
delta_total_negative_slack_ns,13536,0.0,0.5506,18.2355,18.237,0.0015,0.0,5.0,1.0
