fold,target,epoch,train_loss
2,delta_total_negative_slack_ns,18,0.4962974296317802
2,delta_total_negative_slack_ns,19,0.4892966562026256
2,delta_total_negative_slack_ns,20,0.4832530850404734
2,delta_total_negative_slack_ns,21,0.47792173658047354
2,delta_total_negative_slack_ns,22,0.47334974869951474
2,delta_total_negative_slack_ns,23,0.46947293829273534
2,delta_total_negative_slack_ns,24,0.466149195178493
2,delta_total_negative_slack_ns,25,0.46339210483046983
2,delta_total_negative_slack_ns,26,0.4609795486604845
2,delta_total_negative_slack_ns,27,0.4590170132863271
2,delta_total_negative_slack_ns,28,0.45729837107944776
2,delta_total_negative_slack_ns,29,0.4559163495942995
2,delta_total_negative_slack_ns,30,0.4547903314009085
3,delta_worst_slack_ns,1,1.137521331421813
3,delta_worst_slack_ns,2,0.7815457202537716
3,delta_worst_slack_ns,3,0.5573430347163775
3,delta_worst_slack_ns,4,0.4037257105286358
3,delta_worst_slack_ns,5,0.2951952007256056
3,delta_worst_slack_ns,6,0.21719837789995627
3,delta_worst_slack_ns,7,0.1605290468150412
3,delta_worst_slack_ns,8,0.11962725331037365
3,delta_worst_slack_ns,9,0.0904376727708599
3,delta_worst_slack_ns,10,0.07004068386659287
3,delta_worst_slack_ns,11,0.05610136713897973
3,delta_worst_slack_ns,12,0.04682971709217244
3,delta_worst_slack_ns,13,0.04078954264347316
3,delta_worst_slack_ns,14,0.0369710938144497
3,delta_worst_slack_ns,15,0.03460348146962144
3,delta_worst_slack_ns,16,0.03317597170757969
3,delta_worst_slack_ns,17,0.03233081993390942
3,delta_worst_slack_ns,18,0.031832019814796615
3,delta_worst_slack_ns,19,0.03154694359771341
3,delta_worst_slack_ns,20,0.03137830064267094
3,delta_worst_slack_ns,21,0.031280689224687935
3,delta_worst_slack_ns,22,0.03121890224603533
3,delta_worst_slack_ns,23,0.031182337672128316
3,delta_worst_slack_ns,24,0.031158066327460328
3,delta_worst_slack_ns,25,0.031138945730370387
3,delta_worst_slack_ns,26,0.031125650158402515
3,delta_worst_slack_ns,27,0.031113184857786746
3,delta_worst_slack_ns,28,0.03110591567268497
3,delta_worst_slack_ns,29,0.031094420875547923
3,delta_worst_slack_ns,30,0.031086095657787825
3,delta_total_negative_slack_ns,1,0.9549839416442559
3,delta_total_negative_slack_ns,2,0.7556546811471906
3,delta_total_negative_slack_ns,3,0.6796811766791762
3,delta_total_negative_slack_ns,4,0.6383739260205051
3,delta_total_negative_slack_ns,5,0.6084427279338502
3,delta_total_negative_slack_ns,6,0.5842127420051754
3,delta_total_negative_slack_ns,7,0.563646620128587
3,delta_total_negative_slack_ns,8,0.5459665577662619
3,delta_total_negative_slack_ns,9,0.5304764411602801
3,delta_total_negative_slack_ns,10,0.5172062718380265
3,delta_total_negative_slack_ns,11,0.5056305501544684
3,delta_total_negative_slack_ns,12,0.49578398500966747
3,delta_total_negative_slack_ns,13,0.48746139403672245
3,delta_total_negative_slack_ns,14,0.48029598855135736
3,delta_total_negative_slack_ns,15,0.474310738127134
3,delta_total_negative_slack_ns,16,0.46934461157921464
3,delta_total_negative_slack_ns,17,0.46524302792130856
3,delta_total_negative_slack_ns,18,0.4618574215306176
3,delta_total_negative_slack_ns,19,0.45911875175453765
3,delta_total_negative_slack_ns,20,0.45686398315847965
3,delta_total_negative_slack_ns,21,0.4551387802202102
3,delta_total_negative_slack_ns,22,0.4536684899650819
3,delta_total_negative_slack_ns,23,0.452583827993326
3,delta_total_negative_slack_ns,24,0.45163849797862315
3,delta_total_negative_slack_ns,25,0.4509550326051768
3,delta_total_negative_slack_ns,26,0.4504587624156684
3,delta_total_negative_slack_ns,27,0.4499982949237377
3,delta_total_negative_slack_ns,28,0.44968621772632267
3,delta_total_negative_slack_ns,29,0.4494152412428493
3,delta_total_negative_slack_ns,30,0.4492601259061468
4,delta_worst_slack_ns,1,1.1173498215731124
4,delta_worst_slack_ns,2,0.784791946759698
4,delta_worst_slack_ns,3,0.565327287940254
4,delta_worst_slack_ns,4,0.4099601569928621
4,delta_worst_slack_ns,5,0.2967023397223991
4,delta_worst_slack_ns,6,0.2146890270605422
4,delta_worst_slack_ns,7,0.15623389062477133
4,delta_worst_slack_ns,8,0.11540002070846614
4,delta_worst_slack_ns,9,0.08723223361878367
4,delta_worst_slack_ns,10,0.06804826907944261
4,delta_worst_slack_ns,11,0.05508925752681598
4,delta_worst_slack_ns,12,0.04643865689983842
4,delta_worst_slack_ns,13,0.04068157405794015
4,delta_worst_slack_ns,14,0.03689633451445758
4,delta_worst_slack_ns,15,0.034419853087754276
4,delta_worst_slack_ns,16,0.03282167104601163
4,delta_worst_slack_ns,17,0.03179453557346299
4,delta_worst_slack_ns,18,0.031149767720472742
4,delta_worst_slack_ns,19,0.030737033865430897
4,delta_worst_slack_ns,20,0.030480876684798833
4,delta_worst_slack_ns,21,0.030323185756453992
4,delta_worst_slack_ns,22,0.030218223785186373
4,delta_worst_slack_ns,23,0.03015269174605434
4,delta_worst_slack_ns,24,0.03010985595092439
4,delta_worst_slack_ns,25,0.030079433781623144
4,delta_worst_slack_ns,26,0.030059916550043034
4,delta_worst_slack_ns,27,0.03003833373213372
4,delta_worst_slack_ns,28,0.030024309462884015
4,delta_worst_slack_ns,29,0.03001412997643153
4,delta_worst_slack_ns,30,0.029999303931032704
4,delta_total_negative_slack_ns,1,1.1608652085588689
4,delta_total_negative_slack_ns,2,0.9787784389585082
4,delta_total_negative_slack_ns,3,0.8954466316435072
4,delta_total_negative_slack_ns,4,0.8462355551663895
4,delta_total_negative_slack_ns,5,0.8075797728627746
4,delta_total_negative_slack_ns,6,0.773071661330106
4,delta_total_negative_slack_ns,7,0.7412560087198402
4,delta_total_negative_slack_ns,8,0.711693917450152
4,delta_total_negative_slack_ns,9,0.684415456495787
4,delta_total_negative_slack_ns,10,0.6594419183089719
4,delta_total_negative_slack_ns,11,0.6359799887701781
4,delta_total_negative_slack_ns,12,0.6148373934260586
4,delta_total_negative_slack_ns,13,0.5954025199538783
4,delta_total_negative_slack_ns,14,0.57771213675103
4,delta_total_negative_slack_ns,15,0.5617301206142582
4,delta_total_negative_slack_ns,16,0.5471735910365456
4,delta_total_negative_slack_ns,17,0.5340635591780233
4,delta_total_negative_slack_ns,18,0.5224256431847288
4,delta_total_negative_slack_ns,19,0.5118918804048794
4,delta_total_negative_slack_ns,20,0.5025468020759828
4,delta_total_negative_slack_ns,21,0.49416855378457675
4,delta_total_negative_slack_ns,22,0.48681471989168756
4,delta_total_negative_slack_ns,23,0.4803575306956531
4,delta_total_negative_slack_ns,24,0.4746534315466184
4,delta_total_negative_slack_ns,25,0.4696946403785059
4,delta_total_negative_slack_ns,26,0.4654196492064069
4,delta_total_negative_slack_ns,27,0.4616250197092692
4,delta_total_negative_slack_ns,28,0.4584046664990877
4,delta_total_negative_slack_ns,29,0.4556266104268749
4,delta_total_negative_slack_ns,30,0.45330120893249737
5,delta_worst_slack_ns,1,0.8610976132733082
5,delta_worst_slack_ns,2,0.5628226101398468
5,delta_worst_slack_ns,3,0.3900328803132152
5,delta_worst_slack_ns,4,0.28212671600587186
5,delta_worst_slack_ns,5,0.20896944987495042
5,delta_worst_slack_ns,6,0.15787627195057116
5,delta_worst_slack_ns,7,0.1218349530595785
5,delta_worst_slack_ns,8,0.09624682379919186
5,delta_worst_slack_ns,9,0.07788592764334372
5,delta_worst_slack_ns,10,0.0645681217051389
5,delta_worst_slack_ns,11,0.05483492816749372
5,delta_worst_slack_ns,12,0.0476851111049192
5,delta_worst_slack_ns,13,0.04247529650030778
5,delta_worst_slack_ns,14,0.038686846693356834
5,delta_worst_slack_ns,15,0.03595934954215908
5,delta_worst_slack_ns,16,0.034016846281568903
5,delta_worst_slack_ns,17,0.03264949207156025
5,delta_worst_slack_ns,18,0.031686786148283214
5,delta_worst_slack_ns,19,0.03101395650042428
5,delta_worst_slack_ns,20,0.030537502164816297
5,delta_worst_slack_ns,21,0.030201143971834963
5,delta_worst_slack_ns,22,0.029959631756993763
5,delta_worst_slack_ns,23,0.029778650978155304
5,delta_worst_slack_ns,24,0.029643733424749987
5,delta_worst_slack_ns,25,0.029536226568253415
5,delta_worst_slack_ns,26,0.02944965544020572
5,delta_worst_slack_ns,27,0.029370704981667255
5,delta_worst_slack_ns,28,0.02931032383171787
5,delta_worst_slack_ns,29,0.029256331870517537
5,delta_worst_slack_ns,30,0.029209612797923952
