fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.061099134385585785,0.08148795366287231,0.9705933928489685
1,delta_total_negative_slack_ns,31.72843360900879,63.260704040527344,0.5565546751022339
2,delta_worst_slack_ns,0.30022305250167847,0.5742061734199524,-0.27495241165161133
2,delta_total_negative_slack_ns,47.783226013183594,90.3262939453125,-0.03773915767669678
3,delta_worst_slack_ns,0.06351572275161743,0.08455183357000351,0.9684468507766724
3,delta_total_negative_slack_ns,26.961530685424805,58.49045181274414,0.5475921034812927
4,delta_worst_slack_ns,0.07778377085924149,0.09899670630693436,0.9622992277145386
4,delta_total_negative_slack_ns,16.47907257080078,20.313045501708984,-1.6986432075500488
5,delta_worst_slack_ns,0.07030481100082397,0.09194006025791168,0.9568377137184143
5,delta_total_negative_slack_ns,31.071727752685547,53.06235885620117,0.5197835564613342
