fold,target,best_epoch,best_test_r2,completed_epoch
1,worst_slack_ns,56,0.915641188621521,300
1,total_negative_slack_ns,300,0.08847880363464355,300
2,worst_slack_ns,300,-7.700896263122559,300
2,total_negative_slack_ns,300,0.034938275814056396,300
3,worst_slack_ns,257,0.5389417409896851,300
3,total_negative_slack_ns,300,0.07125705480575562,300
4,worst_slack_ns,57,0.7568111419677734,300
4,total_negative_slack_ns,1,-0.175018310546875,300
5,worst_slack_ns,62,0.9228709936141968,300
5,total_negative_slack_ns,300,0.14808499813079834,300
