target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0086,0.9132,0.5739,0.5918,0.0179,0.0066,0.06,0.9358
delta_total_negative_slack_ns,13536,0.0066,0.5421,18.2134,18.237,0.0236,0.0,5.0,1.0
