target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7139,0.4752,-1.5317,0.8775,0.9811,0.1342,0.1041,0.5105,s1423,s386
total_negative_slack_ns,47,-1.8961,3.5905,-20.8008,-0.4796,0.4578,19.4483,4.0097,139.5449,s298,s838
