split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1058,0.1505,0.872,5.5,7.83,31.54,44.89
train,total_negative_slack_ns,22.8954,69.1264,0.0949,4.31,13.01,109.13,329.5
test,worst_slack_ns,0.3624,0.6721,-1.9887,20.82,38.61,116.33,215.71
test,total_negative_slack_ns,10.2354,17.1606,-0.3984,12.24,20.53,153.72,257.72
