epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0096126,0.008893585,-0.017164743,1.0338725,-0.01372621,-0.17922649
2,0.99152994,0.02748611,-1.35660175e-05,1.0138649,0.0053345086,-0.15191007
3,0.9733,0.045677137,0.01617347,0.9950515,0.023648715,-0.124638915
4,0.9554281,0.06351638,0.031529974,0.97729635,0.041150115,-0.097826876
5,0.9382148,0.081061676,0.046131432,0.95971024,0.057910822,-0.071299635
6,0.92137873,0.0983901,0.060076,0.94421923,0.07396243,-0.04492861
7,0.9037422,0.11554761,0.07344618,0.92824316,0.08939116,-0.018907214
8,0.8868807,0.13259248,0.086321056,0.91362965,0.10421401,0.006496942
9,0.87026584,0.14958371,0.09877509,0.8987759,0.1185377,0.031210352
10,0.8539772,0.16657849,0.11088018,0.8834407,0.13239412,0.054864217
11,0.8373656,0.18362688,0.12267641,0.87044555,0.14588134,0.077316225
12,0.8199364,0.20075531,0.1341522,0.8565542,0.15895766,0.098223805
13,0.80324954,0.21798357,0.14533745,0.84425545,0.17160664,0.11745973
14,0.7863746,0.2353352,0.15635222,0.8324049,0.18381245,0.13484064
15,0.76939905,0.25280142,0.1672295,0.8201685,0.19564512,0.15025532
16,0.752036,0.27037254,0.17805697,0.80732644,0.20714334,0.16359702
17,0.73429394,0.28805232,0.1889086,0.7963258,0.21831647,0.17492837
18,0.7177564,0.30582562,0.19983558,0.78422976,0.2291346,0.18412921
19,0.70011616,0.3236869,0.2109175,0.77367276,0.23958716,0.19121505
20,0.6822792,0.34163898,0.22230896,0.7633051,0.24965315,0.19630723
21,0.6653467,0.35968214,0.23412439,0.7539722,0.2593197,0.199613
22,0.6476482,0.37781674,0.2465022,0.74523294,0.2685369,0.20129283
23,0.62877643,0.3960429,0.25947064,0.735301,0.27730483,0.20171967
24,0.61098784,0.4143679,0.27311182,0.7268107,0.28563356,0.20105395
25,0.5932974,0.43281406,0.28765136,0.71920204,0.29353625,0.19973135
26,0.5757493,0.45138702,0.30305618,0.7112604,0.30104,0.19802715
27,0.5567622,0.47009882,0.31950226,0.7038017,0.30818754,0.19629222
28,0.5386163,0.48894924,0.33701244,0.69691384,0.3150278,0.19471036
29,0.5199717,0.50792515,0.35547012,0.68864614,0.32160133,0.19350664
30,0.5003439,0.52700627,0.37484625,0.6827523,0.32796106,0.19273435
31,0.48233724,0.54615366,0.3949095,0.6777191,0.33420402,0.19253792
32,0.46367127,0.5653235,0.41563407,0.6705866,0.3404069,0.19300996
33,0.4454425,0.58445704,0.43679625,0.6653944,0.34665766,0.1942876
